Identifier	Character	Dialogue	Filename	Line Number
start_fbd38129	p	People say that there is no such place as Heaven.	game/script.rpy	282
start_d11f39c9	p	It's just an asinine fairy tale from millennia ago.	game/script.rpy	284
start_08a9af42	p	Our arbitrary existence is nothing, but a brief crack of light between two eternities of outer darkness.	game/script.rpy	285
start_1c3e1a7e	p	In spite of that, why do I feel so compelled to achieve salvation?	game/script.rpy	288
start_12af7097	p	The wind blows in my eyes, fogging up my glasses.	game/script.rpy	289
start_34305f09	p	Walking in my church attire through a foot of snow...	game/script.rpy	290
start_bb92e054	p	A voice calls to me as I wipe my glasses with my tie.	game/script.rpy	291
start_c2d6592d	centered	“Press forward to Heavenly Father's kingdom!”	game/script.rpy	296
start_29f531b3	centered	 10:16 P.M.
8 hours until school begins	game/script.rpy	311
start_28e53bdf		“Alexis, how much you want to bet that I can astral project?”	game/script.rpy	314
start_9ac56c87	a	“Marcus frankly I don’t care.”	game/script.rpy	315
start_f180255b	m	“I can fly to the—“	game/script.rpy	316
start_d5516e3e	a	“Marcus, we’re going to school in the morning!	game/script.rpy	318
start_4519ed0d	a	Why are we even talking about this?”	game/script.rpy	319
start_0cb2aa33	m	“Well Alexis, you wanted to know what I was doing…”	game/script.rpy	320
start_ad1ffeef	a	“Alright, for the safety of my sanity, go ahead and ‘astral project.’”	game/script.rpy	321
start_95f82080		Marcus relaxes his tender muscles and removes the breastplates of his body. 	game/script.rpy	322
start_83ee412f		He stretches repeatedly and Alexis rolls her eyes. Flat on his back, he stares at the ceiling.	game/script.rpy	323
start_48691a9e		The body naturally goes to sleep, however he can still open his big mouth.	game/script.rpy	324
start_6b7ec15f	a	“Are you done?”	game/script.rpy	325
start_79f15377	m	“Well, I am in waking sleep paralysis.”	game/script.rpy	326
start_d4449b25	m	“I can only communicate for a limited time until my head goes to sleep as well.”	game/script.rpy	328
start_4b537431	a	“Goodnight. I have honors biochemistry.”	game/script.rpy	329
start_1d21e93e	m	“Weak sauce. I’d love to see you in AP metaphysics.”	game/script.rpy	330
start_43c989c7		Alexis gives him the infamous straight face.	game/script.rpy	331
